,Temperature,Pressure,Fraction_B,Liq_B,Vap_B
0,350.0,140000.0,0.5,0.4999999696255487,0.6959083756707624
1,350.0,140000.0,0.5444444444444444,0.544444411389263,0.7330630469361586
2,350.0,140000.0,0.5888888888888889,0.5888888529156092,0.7676815611299654
3,350.0,140000.0,0.6333333333333333,0.6333332941794307,0.7999848623611979
4,350.0,140000.0,0.6777777777777778,0.6777777351527084,0.8301717343629526
5,350.0,140000.0,0.7222222222222222,0.722222175804227,0.8584212912170938
6,350.0,140000.0,0.7666666666666666,0.7666666161001581,0.884895171731938
7,350.0,140000.0,0.8111111111111111,0.8111110560061705,0.9097394733542242
8,350.0,140000.0,0.8555555555555556,0.855555495495832,0.9330864574680666
9,350.0,140000.0,0.9,0.8999999345849858,0.95505605423341
10,350.0,142222.22222222222,0.5,0.4999999703219398,0.6954344601533867
11,350.0,142222.22222222222,0.5444444444444444,0.5444444121824119,0.7326238718421646
12,350.0,142222.22222222222,0.5888888888888889,0.5888888538192548,0.7672805635247489
13,350.0,142222.22222222222,0.6333333333333333,0.6333332952096903,0.7996245606316285
14,350.0,142222.22222222222,0.6777777777777778,0.6777777363284325,0.8298538947146153
15,350.0,142222.22222222222,0.7222222222222222,0.7222221771476114,0.8581470655627582
16,350.0,142222.22222222222,0.7666666666666666,0.7666666176373826,0.8846652118815354
17,350.0,142222.22222222222,0.8111111111111111,0.811111057768373,0.909554025570358
18,350.0,142222.22222222222,0.8555555555555556,0.8555554975203974,0.9329454407488788
19,350.0,142222.22222222222,0.9,0.8999999369168191,0.9549591251033028
20,350.0,144444.44444444444,0.5,0.4999999709813782,0.6949670563481851
21,350.0,144444.44444444444,0.5444444444444444,0.5444444129319261,0.7321906584910467
22,350.0,144444.44444444444,0.5888888888888889,0.5888888546714571,0.7668849471339763
23,350.0,144444.44444444444,0.6333333333333333,0.6333332961791833,0.7992690414363691
24,350.0,144444.44444444444,0.6777777777777778,0.6777777374322225,0.829540230408276
25,350.0,144444.44444444444,0.7222222222222222,0.7222221784055829,0.8578764069840433
26,350.0,144444.44444444444,0.7666666666666666,0.7666666190729257,0.8844382154551281
27,350.0,144444.44444444444,0.8111111111111111,0.8111110594092457,0.909370946473685
28,350.0,144444.44444444444,0.8555555555555556,0.8555554993995106,0.9328062100936868
29,350.0,144444.44444444444,0.9,0.8999999390736573,0.9548634138548808
30,350.0,146666.66666666666,0.5,0.4999999716068201,0.694505972539208
31,350.0,146666.66666666666,0.5444444444444444,0.5444444136415204,0.7317632321633258
32,350.0,146666.66666666666,0.5888888888888889,0.5888888554766633,0.7664945549188764
33,350.0,146666.66666666666,0.6333333333333333,0.6333332970932646,0.7989181657529557
34,350.0,146666.66666666666,0.6777777777777778,0.6777777384705889,0.8292306205093181
35,350.0,146666.66666666666,0.7222222222222222,0.7222221795861546,0.8576092125078468
36,350.0,146666.66666666666,0.7666666666666666,0.7666666204167667,0.8842140971683978
37,350.0,146666.66666666666,0.8111111111111111,0.811111060941018,0.9091901680892736
38,350.0,146666.66666666666,0.8555555555555556,0.855555501148498,0.93266871438217
39,350.0,146666.66666666666,0.9,0.8999999410746373,0.9547688857161633
40,350.0,148888.88888888888,0.5,0.4999999722008173,0.6940510254561701
41,350.0,148888.88888888888,0.5444444444444444,0.5444444143142826,0.7313414258133322
42,350.0,148888.88888888888,0.5888888888888889,0.5888888562386283,0.7661092367190355
43,350.0,148888.88888888888,0.6333333333333333,0.6333332979565992,0.7985718006327561
44,350.0,148888.88888888888,0.6777777777777778,0.6777777394492261,0.8289249493543743
45,350.0,148888.88888888888,0.7222222222222222,0.7222221806963508,0.8573453836397698
46,350.0,148888.88888888888,0.7666666666666666,0.7666666216774372,0.8839927754388407
47,350.0,148888.88888888888,0.8111111111111111,0.8111110623743593,0.9090116253872036
48,350.0,148888.88888888888,0.8555555555555556,0.8555555027805524,0.9325329047048684
49,350.0,148888.88888888888,0.9,0.8999999429362743,0.9546755074163296
50,350.0,151111.11111111112,0.5,0.4999999727658233,0.6936020397826805
51,350.0,151111.11111111112,0.5444444444444444,0.5444444149530475,0.730925079623466
52,350.0,151111.11111111112,0.5888888888888889,0.5888888569608921,0.7657288488536299
53,350.0,151111.11111111112,0.6333333333333333,0.6333332987733836,0.7982298188494437
54,350.0,151111.11111111112,0.6777777777777778,0.6777777403732868,0.8286231062467911
55,350.0,151111.11111111112,0.7222222222222222,0.722222181742434,0.8570848261057337
56,350.0,151111.11111111112,0.7666666666666666,0.7666666228625941,0.8837741721726892
57,350.0,151111.11111111112,0.8111111111111111,0.8111110637185635,0.9088352561132006
58,350.0,151111.11111111112,0.8555555555555556,0.855555504307155,0.9323987342361676
59,350.0,151111.11111111112,0.9,0.8999999446727265,0.9545832470995838
60,350.0,153333.33333333334,0.5,0.4999999733039009,0.6931588476998106
61,350.0,153333.33333333334,0.5444444444444444,0.5444444155604595,0.7305140405904178
62,350.0,153333.33333333334,0.5888888888888889,0.588888857646516,0.7653532537511275
