,Temperature,Pressure,Fraction_B,Liq_B,Vap_B,Train_Liq_B,Train_Vap_B
2364,373.4693877551021,153333.33333333334,0.6777777777777778,0.6777772713672984,0.8283246739263906,0.676010211400911,0.8311199858284102
3176,381.6326530612245,155555.55555555556,0.7666666666666666,0.5911145913790468,0.7666666671556497,0.5939324078110317,0.7677099602931108
4384,393.8775510204082,157777.77777777778,0.6777777777777778,0.4835734343574707,0.6777777779297557,0.4848351326066561,0.6790063641549189
259,352.0408163265306,151111.11111111112,0.9,0.899999937990802,0.954583243862418,0.8986715337845274,0.9567443807795961
1531,365.3061224489796,146666.66666666666,0.5444444444444444,0.5444443742024274,0.7317632002567169,0.5417127145223549,0.7328161243552098
2883,378.57142857142856,157777.77777777778,0.6333333333333333,0.5983095900950189,0.7717137042609735,0.6004642166396679,0.7731836632668951
3845,388.7755102040816,148888.88888888888,0.7222222222222222,0.5332822273017842,0.7222222223881025,0.5347008126216815,0.7231680674934466
4033,390.8163265306122,146666.66666666666,0.6333333333333333,0.4333204398401095,0.6333333335225597,0.43484263522098754,0.6342214994502209
72,350.0,155555.55555555556,0.5888888888888889,0.5888888582982584,0.7649823196052328,0.5823038845128321,0.765448732141865
1014,360.2040816326531,142222.22222222222,0.6777777777777778,0.6777777017111226,0.8298538719453175,0.675960161658471,0.8309953806786307
3581,385.7142857142857,157777.77777777778,0.5444444444444444,0.3677954978432808,0.5636930117786811,0.36258501258789927,0.5620706830430476
4011,390.8163265306122,142222.22222222222,0.5444444444444444,0.347038433420881,0.5444444446909074,0.35111144420934315,0.5443106180115171
4227,392.8571428571429,144444.44444444444,0.8111111111111111,0.6503681158020145,0.8111111111944946,0.6576934517844901,0.8142895026089243
323,353.0612244897959,144444.44444444444,0.6333333333333333,0.6333332907712774,0.799269037628277,0.6298621620608545,0.8010412682666015
1112,361.2244897959184,142222.22222222222,0.5888888888888889,0.5888888249010197,0.7672805417500169,0.5873442533421223,0.768673249778183
823,358.16326530612247,144444.44444444444,0.6333333333333333,0.6333332772015231,0.7992690280728488,0.6314840347223167,0.8009399350407467
671,356.1224489795918,155555.55555555556,0.5444444444444444,0.5444444086666185,0.7301081560724288,0.541680670695007,0.7315756602890325
2250,372.4489795918368,151111.11111111112,0.5,0.4999998889954709,0.6936019669137301,0.49331454304068156,0.6937157932357974
2972,379.59183673469386,155555.55555555556,0.5888888888888889,0.5445803261038066,0.7302185213909768,0.551617766650919,0.7329321042464718
1962,369.3877551020408,153333.33333333334,0.5888888888888889,0.5888887845307652,0.7653531983852203,0.5872884014977575,0.7665617702189993
4551,395.9183673469388,151111.11111111112,0.5444444444444444,0.3489325820036638,0.544444444626562,0.3523121265964245,0.5439840923050258
68,350.0,153333.33333333334,0.8555555555555556,0.8555555057383349,0.9322661581164348,0.8552093814753376,0.934625013805002
1136,361.2244897959184,146666.66666666666,0.7666666666666666,0.7666665687218654,0.8842140671972909,0.7664599366368765,0.8857392455269971
2061,370.4081632653061,153333.33333333334,0.5444444444444444,0.5444443465779877,0.730513984622447,0.541606460224187,0.7315176160964927
1546,365.3061224489796,148888.88888888888,0.7666666666666666,0.7666665165123266,0.8839927143663074,0.7662461935507694,0.8853435143264564
4253,392.8571428571429,151111.11111111112,0.6333333333333333,0.434337395549085,0.6333333335057418,0.43601935087093857,0.6343836163375157
4573,395.9183673469388,155555.55555555556,0.6333333333333333,0.4353273301392997,0.6333333334788631,0.43742751571743,0.6345618174333041
404,354.0816326530612,140000.0,0.6777777777777778,0.6777777253320026,0.8301717279129915,0.67530665804471,0.8322886812340919
2542,375.5102040816327,148888.88888888888,0.5888888888888889,0.5888881307111316,0.766108688532669,0.5882098775697195,0.7666087480421203
241,352.0408163265306,148888.88888888888,0.5444444444444444,0.5444444119143051,0.7313414238698376,0.5406006155941445,0.7323334353596771
2213,372.4489795918368,142222.22222222222,0.6333333333333333,0.6333326263536815,0.7996240902612297,0.6310391598798961,0.8008259080382057
2430,374.48979591836735,146666.66666666666,0.5,0.499999805241376,0.6945058280548332,0.4964054761654938,0.6949311138596923
1930,369.3877551020408,146666.66666666666,0.5,0.4999999119199356,0.6945059207026086,0.49272219957730173,0.6944577824559476
418,354.0816326530612,142222.22222222222,0.8555555555555556,0.855555480411466,0.932945432016829,0.8565817813895992,0.9357739362123839
1031,360.2040816326531,146666.66666666666,0.5444444444444444,0.5444443951526883,0.7317632172056869,0.5425340382027326,0.7332771688340851
4949,400.0,148888.88888888888,0.9,0.7947814715508114,0.900000000049349,0.7965238540185137,0.9002158468748092
1658,366.3265306122449,151111.11111111112,0.8555555555555556,0.8555552909554847,0.9323986245219564,0.86111130071598,0.9347302799317531
4359,393.8775510204082,151111.11111111112,0.9,0.7951247672727397,0.9000000000641727,0.7999907245498064,0.9035301973922916
4749,397.9591836734694,148888.88888888888,0.9,0.7947814715575742,0.9000000000531185,0.79767722017622,0.9020404959031005
2988,379.59183673469386,157777.77777777778,0.8555555555555556,0.7209924494353149,0.8555555558994429,0.725501294312636,0.8596312389570973
2369,373.4693877551021,153333.33333333334,0.9,0.7954629533852979,0.9000000012063042,0.7921451540710427,0.8965747129780179
2171,371.4285714285714,155555.55555555556,0.5444444444444444,0.5444443409742229,0.7301081011001825,0.5417954606081647,0.7312357220343118
3725,387.7551020408163,144444.44444444444,0.7222222222222222,0.5322295479623808,0.7222222223872673,0.5334603443928296,0.7232078304776819
2300,373.4693877551021,140000.0,0.5,0.4999997649695756,0.6959081983760229,0.49709962976386507,0.6958917452462275
147,351.0204081632653,148888.88888888888,0.8111111111111111,0.8111110598321779,0.9090116240001656,0.8113532153023028,0.9120897357797505
4232,392.8571428571429,146666.66666666666,0.5888888888888889,0.3891166498637287,0.588888889074466,0.39202723210295326,0.5894637921042989
2400,374.48979591836735,140000.0,0.5,0.4999996689377433,0.6959081151830212,0.4981658762148578,0.6952533676221065
280,352.0408163265306,157777.77777777778,0.5,0.4999999725018939,0.6922892064295494,0.4951475839952993,0.6940838585127911
4093,390.8163265306122,160000.0,0.6333333333333333,0.4362917327852835,0.6333333336092413,0.43771395261549517,0.6325735597277226
4053,390.8163265306122,151111.11111111112,0.6333333333333333,0.4343373955897809,0.6333333335451278,0.43598621363836476,0.6337698125631336
3210,382.6530612244898,142222.22222222222,0.5,0.3421108345802591,0.5388965287484515,0.32809454996237136,0.5311192581627606
1275,362.2448979591837,155555.55555555556,0.7222222222222222,0.7222221452325619,0.8565731437289125,0.7211951118214417,0.8577598562167749
4950,400.0,151111.11111111112,0.5,0.3104881876791637,0.5000000001515533,0.3105094283444473,0.49763385167319935
3593,385.7142857142857,160000.0,0.6333333333333333,0.4362917336307535,0.6333333344267886,0.43532021522456193,0.6324076184333491
350,353.0612244897959,151111.11111111112,0.5,0.4999999696141953,0.6936020370412008,0.4960073532142672,0.6949013051832431
2327,373.4693877551021,144444.44444444444,0.8111111111111111,0.6643914502554793,0.8206342095440595,0.6755774698293849,0.8231935902383619
2690,376.530612244898,160000.0,0.5,0.4999998507352924,0.6918623503414248,0.4956095477032675,0.6930496140708571
3064,380.6122448979592,153333.33333333334,0.6777777777777778,0.4925653971117733,0.6866480003287436,0.4953794388099073,0.6884156803705437
3448,384.6938775510204,148888.88888888888,0.8555555555555556,0.719336481529352,0.8555555556854747,0.7266578348726112,0.8554445167738856
4760,397.9591836734694,153333.33333333334,0.5,0.3109186254589632,0.5000000001857018,0.3125685396473163,0.49845794358999357
2291,372.4489795918368,160000.0,0.5444444444444444,0.5444443418406908,0.7293112693994077,0.5420096269479077,0.7306023622492654
2938,379.59183673469386,146666.66666666666,0.8555555555555556,0.718907071044101,0.855555555770318,0.7259966774222686,0.8576164816365104
826,358.16326530612247,144444.44444444444,0.7666666666666666,0.7666665880486407,0.884438197498401,0.766716781051568,0.8863891234958082
